	16_S3	17_S4	18_S1	19_S2	21_S3	23_S3	24_S2	27_S1	28_S4	30_S3	34_S1	35_S4	36_S1	38_S2	40_S2	42_S3	44_S3	45_S1	46_S4	47_S4	51_S2	54_S4	5_S1	8_S2
dltD	0.00	0.00	0.00	0.00	0.00	112.00	19.00	103.00	0.00	0.00	0.00	0.00	35.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00
dnaA	0.00	0.00	0.00	0.00	0.00	82.00	21.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	0.00	0.00	0.00
dnaB	0.00	0.00	0.00	0.00	0.00	73.00	40.00	26.00	44.00	0.00	0.00	0.00	53.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.00	0.00	0.00	0.00
dnaG	0.00	0.00	0.00	0.00	0.00	102.00	153.00	91.00	20.00	0.00	0.00	0.00	41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.00	0.00	0.00	0.00
dnaJ	194.00	0.00	0.00	133.00	0.00	22.00	80.00	78.00	0.00	0.00	0.00	0.00	33.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	78.00	0.00	0.00	0.00
dnaK	0.00	0.00	29.00	0.00	0.00	89.00	73.00	106.00	107.00	0.00	0.00	0.00	122.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	77.00	0.00	71.00	0.00
dnaN	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	40.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dnaX	0.00	0.00	0.00	0.00	0.00	14.00	107.00	48.00	121.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	47.00	58.00	0.00	0.00	0.00
dprA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dps	0.00	0.00	0.00	0.00	0.00	460.00	672.00	0.00	356.00	0.00	0.00	0.00	598.00	0.00	0.00	8.00	0.00	0.00	0.00	0.00	311.00	0.00	0.00	0.00
ebpS	0.00	0.00	33.00	0.00	0.00	64.00	85.00	42.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.00	0.00	0.00	0.00
efp	0.00	0.00	0.00	0.00	0.00	40.00	58.00	0.00	97.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
engA	0.00	0.00	0.00	0.00	0.00	44.00	29.00	130.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	23.00	0.00
entB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
era	0.00	0.00	73.00	0.00	0.00	0.00	87.00	31.00	18.00	0.00	0.00	0.00	0.00	370.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
estA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fabD	0.00	0.00	40.00	0.00	0.00	97.00	63.00	120.00	116.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	125.00	0.00	0.00	0.00
fabF	0.00	0.00	0.00	0.00	0.00	33.00	26.00	57.00	19.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.00	0.00	0.00	0.00
fabG	0.00	0.00	0.00	0.00	0.00	169.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	175.00	0.00	25.00	0.00
fabH	0.00	0.00	0.00	0.00	0.00	0.00	62.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.00	0.00	0.00	0.00
fabZ	0.00	0.00	0.00	0.00	0.00	97.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
fadD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
